
Genes,Filtered Difference
LSP11,0.259348281325782
PGLYRP1,0.2600440647996112
CAP1,0.2660029816811934
BEX11,0.26734961997361173
CSTB,0.267766319154041
LCP12,0.2758526361847545
HMGB2,0.27775043579000824
CARD16,0.278267397653856
BTG11,0.27938870048500447
ACTR2,0.28272489142633106
LCP11,0.28310891721137543
AZU11,0.28769835479432726
S100A61,0.28793790566634714
MYO1F,0.2914474083858823
RNASE32,0.2951151690368997
RHOA,0.2979316110675221
S100A121,0.3002131839737199
LITAF1,0.300336407974768
C4orf3,0.3005874983195
VAMP81,0.3027810330154075
ITGB21,0.30317679593663877
FYB,0.3063928491799457
EIF1B,0.31358438385821197
PLSCR11,0.31421555514963406
RP11-84C10.21,0.3175154041477095
CAMP,0.31937937456947907
FCER1G1,0.32185342105191217
BIN2,0.3243311427457275
RGL41,0.32521382226725837
IFITM2,0.32746073209968524
RETN1,0.3292851163107766
PYGL,0.33088376961897825
FCN12,0.3325952488979802
ARHGDIB2,0.3326962601167827
ANXA12,0.34017184676480194
RPSA1,0.34377066579207105
LCN21,0.34635086752043454
STOM1,0.3527779284832162
EVI2B,0.3536357310850343
RGS19,0.3550258003178605
RP11-84C10.2,0.37041687904336107
CPNE3,0.37791988503195806
RAB27A,0.38635120453717675
MYL61,0.38728989717232787
RGS2,0.4009591933742116
MNDA2,0.40425303597403406
CST71,0.40569235269829995
MYL12A3,0.40819374880601655
GLUL,0.4117864274228671
FYB1,0.42015034694441794
BCL2A1,0.42599259463585637
S100A82,0.4330483347728993
S100A81,0.44031720709753897
AZU12,0.440967204644543
SVIP,0.44386304185575853
SVIP2,0.44444563979890994
OAZ12,0.44718860719781306
CFD,0.4476580330448249
TPT1,0.45965038981907425
CTSG3,0.4665182687649544
FAM101B2,0.472812705933323
C1orf162,0.4775994214114569
CDA2,0.4780826579879329
VNN2,0.47928233771210493
APMAP2,0.4865651877968521
TMSB4X3,0.49735106425164444
S100P3,0.5066889692877254
CAMP1,0.5240975498042901
ELANE2,0.5244382708445632
CYBB,0.5283457176958488
LST11,0.5325853466147382
PCNA1,0.5496728197841856
VIM,0.5524177522381535
DEFA32,0.5530269885081034
DEFA8P,0.5539905538950449
LTB,0.567430983867464
CEACAM81,0.5723364435197719
PRTN31,0.573171612072398
S100A122,0.5887017328031965
DEFA41,0.5948988530254906
S100A9,0.5961791676277186
QPCT,0.5981165309311476
LTF,0.6123005954085095
C5AR1,0.616602114495845
NCF1C,0.6258317523927559
CD241,0.6269065754331204
RAB131,0.650763975055533
CCND3,0.7023882083500244
CDA1,0.7113714518648975
PLSCR1,0.7544475684601719
CLC,0.7550375584020497
IFITM26,0.7834014927217852
MAN1A1,0.824642155238891
SOD2,0.8437174965770465
CTSS3,0.9152204287529561
LTF2,0.9367969105805954
OLFM4,0.9379725195860968
MMP91,0.9643837118115951
ELANE1,1.0602836824516804
BPI1,1.2082675806874996
SLPI1,1.315653222610876
